,V1
ME,8410.16
MAE,9382.59
MSE,143625134.3
RMSE,11984.37
ubRMSE,8537.81
NRMSE %,83.6
PBIAS %,38.8
RSR,0.84
rSD,1.35
NSE,0.3
mNSE,0.22
rNSE,-2.27
wNSE,0.26
wsNSE,0.17
d,0.88
dr,0.61
md,0.68
rd,0.43
cp,-31.42
r,0.91
R2,0.3
bR2,0.22
VE,0.57
KGE,0.47
KGElf,0.51
KGEnp,0.6
KGEkm,0.56
