,V1
ME,-103.43
MAE,1867.23
MSE,8425498.54
RMSE,2902.67
ubRMSE,2900.83
NRMSE %,20.2
PBIAS %,-0.5
RSR,0.2
rSD,0.95
NSE,0.96
mNSE,0.85
rNSE,0.76
wNSE,0.95
wsNSE,0.83
d,0.99
dr,0.92
md,0.92
rd,0.94
cp,-0.9
r,0.98
R2,0.96
bR2,0.93
VE,0.91
KGE,0.94
KGElf,0.56
KGEnp,0.97
KGEkm,0.98
