,V1
ME,359.68
MAE,4242.06
MSE,35588486.04
RMSE,5965.61
ubRMSE,5954.76
NRMSE %,41.6
PBIAS %,1.7
RSR,0.42
rSD,0.91
NSE,0.83
mNSE,0.65
rNSE,0.51
wNSE,0.8
wsNSE,0.64
d,0.95
dr,0.82
md,0.82
rd,0.86
cp,-7.03
r,0.91
R2,0.83
bR2,0.79
VE,0.8
KGE,0.87
KGElf,0.77
KGEnp,0.91
KGEkm,0.91
