,V1
ME,-62
MAE,1548.59
MSE,6474484.39
RMSE,2544.5
ubRMSE,2543.75
NRMSE %,17.7
PBIAS %,-0.3
RSR,0.18
rSD,0.95
NSE,0.97
mNSE,0.87
rNSE,0.93
wNSE,0.96
wsNSE,0.85
d,0.99
dr,0.94
md,0.93
rd,0.98
cp,-0.46
r,0.98
R2,0.97
bR2,0.95
VE,0.93
KGE,0.94
KGElf,0.87
KGEnp,0.98
KGEkm,0.98
